Chongyun,4,Liyue,Cryo,,Claymore,2020-09-28,Medium Male,Nubis Caesor,07-Sep,Cold Noodles with Mountain Delicacies,Tianheng Thaumaturges,FALSE,Beau Bridgland,kinsen,Soma Saito (斉藤壮馬),Yang Jeong-hwa (양정화),Cor Lapis,Hoarfrost Core,Damaged Mask,Stained Mask,Ominous Mask,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Damaged Mask,Stained Mask,Ominous Mask,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Dvalin's Sigh
Clorinde,5,Fontaine,Electro,Ousia,Sword,2024-06-05,Tall Female,Rapperia,20-Sep,"""Tagged and Bagged""",Trial Court,TRUE,Crystal Lee,Zhao Hanyu (赵涵雨),Ishikawa Yui (石川由依),Shin Na-ri (신나리),Lumitoile,Fontemer Unihorn,Transoceanic Pearl,Transoceanic Chunk,Xenochromatic Crystal,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Transoceanic Pearl,Transoceanic Chunk,Xenochromatic Crystal,Teachings of Justice,Guide to Justice,Guide to Justice,Guide to Justice,Guide to Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Everamber
Collei,4,Sumeru,Dendro,,Bow,2022-08-24,Medium Female,Leptailurus Cervarius,08-May,Yearning,"Gandharva Ville (on profile), Forest Rangers",FALSE,Christina Costello,Qin Wenjing (秦文静),Maekawa Ryoko (前川 涼子),Bang Siu (방시우),Rukkhashava Mushrooms,Majestic Hooked Beak,Firm Arrowhead,Sharp Arrowhead,Weathered Arrowhead,Nagadus Emerald Sliver,Nagadus Emerald Fragment,Nagadus Emerald Chunk,Nagadus Emerald Gemstone,Firm Arrowhead,Sharp Arrowhead,Weathered Arrowhead,Teachings of Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Tears of the Calamitous God
Cyno,5,Sumeru,Electro,,Polearm,2022-09-28,Medium Male,Lupus Aureus,23-Jun,Duel Soul,"Temple of Silence (on profile), Matra, Spantamad (graduate)",TRUE,Alejandro Saab,Li Qingyang (李轻扬),Irino Miyu (入野 自由),Lee Woo-ri (이우리),Scarab,Thunderclap Fruitcore,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Teachings of Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Mudra of the Malefic General
Dehya,5,Sumeru,Pyro,,Claymore,2023-03-01,Tall Female,Mantichora,07-Apr,Goldflame Tajine,"The Eremites (on profile), Blazing Beasts, Corps of Thirty (formerly)",FALSE,Amber May,Chen Yu (陈雨),Fukuhara Ayaka (福原綾香),Kim Hyeon-sim (김현심),Sand Grease Pupa,Light Guiding Tetrahedron,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Teachings of Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Puppet Strings
Diluc,5,Mondstadt,Pyro,,Claymore,2020-09-28,Tall Male,Noctua,30-Apr,"""Once Upon a Time in Mondstadt""","Dawn Winery (on profile), Unnamed intelligence organization, Knights of Favonius (formerly)",FALSE,Sean Chiplock,Yang Ma (马洋),Kensho Ono (小野賢章),Choi Seung-hoon (최승훈),Small Lamp Grass,Everflame Seed,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dvalin's Plume
Diona,4,Mondstadt,Cryo,,Bow,2020-11-11,Short Female,Feles,18-Jan,Definitely Not Bar Food!,"The Cat's Tail (on profile), Kätzlein Bloodline",FALSE,Dina Sherman,Nuoya (诺亚),Shiori Izawa (井澤詩織),Woo Jeong-sin (우정신),Calla Lily,Hoarfrost Core,Firm Arrowhead,Sharp Arrowhead,Weathered Arrowhead,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Firm Arrowhead,Sharp Arrowhead,Weathered Arrowhead,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Shard of a Foul Legacy
Dori,4,Sumeru,Electro,,Claymore,2022-09-09,Short Female,Magicae Lucerna,21-Dec,Show Me the Mora,The Palace of Alcazarzaray,FALSE,Anjali Kunapaneni,Wang Xiaotong (王晓彤),Kaneda Tomoko (金田朋子),Lee Myeong-ho (이명호),Kalpalata Lotus,Thunderclap Fruitcore,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Teachings of Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Bloodjade Branch
Emilie,5,Fontaine,Dendro,Pneuma,Polearm,2024-08-06,Medium Female,Pomum de Ambra,22-Sep,A Fragrant Feast of Flavors,"Court of Fontaine (on profile), Maison Gardiennage (contractor)",TRUE,Amber Aviles,Muzi Cheng (木子橙),Hikasa Yoko (日笠陽子),Kwon Da-ye (권다예),Lakelight Lily,Fragment of a Golden Melody,Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Nagadus Emerald Sliver,Nagadus Emerald Fragment,Nagadus Emerald Chunk,Nagadus Emerald Gemstone,Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Teachings of Order,Guide to Order,Guide to Order,Guide to Order,Guide to Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Silken Feather
Eula,5,Mondstadt,Cryo,,Claymore,2021-05-18,Tall Female,Aphros Delos,25-Oct,Stormcrest Pie,"Knights of Favonius (on profile), Lawrence Clan",TRUE,Suzie Yeung,Ziyin (子音),Rina Sato (佐藤利奈),Kim Hyeon-ji (김현지),Dandelion Seed,Crystalline Bloom,Damaged Mask,Stained Mask,Ominous Mask,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Damaged Mask,Stained Mask,Ominous Mask,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dragon Lord's Crown
Faruzan,4,Sumeru,Anemo,,Bow,2022-12-07,Medium Female,Flosculi Implexi,20-Aug,Traditionally-Made Charcoal-Baked Ajilenakh Cake,Haravatat,FALSE,Chandni Parekh,Yan Mengmeng (阎萌萌),Horie Yui (堀江 由衣),Kim You-rim (김유림),Henna Berry,Light Guiding Tetrahedron,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Vayuda Turquoise Sliver,Vayuda Turquoise Fragment,Vayuda Turquoise Chunk,Vayuda Turquoise Gemstone,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Teachings of Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Puppet Strings
Fischl,4,Mondstadt,Electro,,Bow,2020-09-28,Medium Female,Corvus,27-May,Die Heilige Sinfonie,Adventurers' Guild,FALSE,"Brittany Cox, Ben Pronsky","Mace,  Yuantao Li (李元韬), Zhao Yuecheng (赵悦程)","Maaya Uchida (内田真礼), Yasunori Masutani (増谷康紀)","Park Go-woon (박고운), Lee Hyun (이현)",Small Lamp Grass,Lightning Prism,Firm Arrowhead,Sharp Arrowhead,Weathered Arrowhead,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Firm Arrowhead,Sharp Arrowhead,Weathered Arrowhead,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Spirit Locket of Boreas
Freminet,4,Fontaine,Cryo,Pneuma,Claymore,2023-09-05,Medium Male,Automaton,24-Sep,"""Seabird's Sojourn""","Hotel Bouffes d'ete (on profile), House of the Hearth",FALSE,Paul Castro Jr.,Jinli (锦鲤),Toki Shunichi (土岐隼一),Lee Joo-Seung (이주승),Romaritime Flower,Artificed Spare Clockwork Component - Coppelius,Transoceanic Pearl,Transoceanic Chunk,Xenochromatic Crystal,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Transoceanic Pearl,Transoceanic Chunk,Xenochromatic Crystal,Teachings of Justice,Guide to Justice,Guide to Justice,Guide to Justice,Guide to Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Worldspan Fern
Furina,5,Fontaine,Hydro,Both,Sword,2023-11-08,Medium Female,Animula Choragi,13-Oct,"""Pour la Justice""","Court of Fontaine (on profile), Opera Epiclese (formerly), The Seven (as a representative, formerly)",TRUE,Amber Lee Connors,Qian Chen (钱琛),Minase Inori (水瀬いのり),Kim Ha-yeong (김하영),Lakelight Lily,Water That Failed To Transcend,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Varunada Lazurite Sliver,Varunada Lazurite Fragment,Varunada Lazurite Chunk,Varunada Lazurite Gemstone,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Teachings of Justice,Guide to Justice,Guide to Justice,Guide to Justice,Guide to Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Lightless Mass
Gaming,4,Liyue,Pyro,,Claymore,2024-01-31,Medium Male,Leo Expergiscens,22-Dec,Yummy Yum Cha,"Sword and Strongbox Secure Transport Agency (Faction) (on profile), Mighty Mythical Beasts",FALSE,Caleb Yen,Xie Ying (谢莹),Komatsu Shouhei (小松昌平),Kim Yoon-ki (김윤기),Starconch,Emperor's Resolution,Slime Condensate,Slime Secretions,Slime Concentrate,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Slime Condensate,Slime Secretions,Slime Concentrate,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Lightless Mass
Ganyu,5,Liyue,Cryo,,Bow,2021-01-12,Medium Female,Sinae Unicornis,02-Dec,Prosperous Peace,"Yuehai Pavilion (on profile), Liyue Qixing Employees, Adepti",TRUE,Jennifer Losi,Su Lin (林簌),Reina Ueda (上田麗奈),Kim Sun-hye (김선혜),Qingxin,Hoarfrost Core,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Shadow of the Warrior
Gorou,4,Inazuma,Geo,,Bow,2021-12-14,Medium Male,Canis Bellatoris,18-May,Victorious Legend,"Watatsumi Island (on profile), Watatsumi Army, Yae Publishing House (as Ms. Hina)",FALSE,Cory Yee,Yang Xinran (杨昕燃),Tasuku Hatanaka (畠中 祐),Lee Sae-byeok (이새벽),Sango Pearl,Perpetual Heart,Spectral Husk,Spectral Heart,Spectral Nucleus,Prithiva Topaz Sliver,Prithiva Topaz Fragment,Prithiva Topaz Chunk,Prithiva Topaz Gemstone,Spectral Husk,Spectral Heart,Spectral Nucleus,Teachings of Light,Guide to Light,Guide to Light,Guide to Light,Guide to Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Molten Moment
Hu Tao,5,Liyue,Pyro,,Polearm,2021-03-02,Medium Female,Papilio Charontis,15-Jul,Ghostly March,"Wangsheng Funeral Parlor (on profile), Hu Family",TRUE,Brianna Knickerbocker,Dian Tao (陶典),Rie Takahashi (高橋李依),Kim Ha-ru (김하루),Silk Flower,Juvenile Jade,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Shard of a Foul Legacy
Jean,5,Mondstadt,Anemo,,Sword,2020-09-28,Tall Female,Leo Minor,14-Mar,Invigorating Pizza,"Knights of Favonius (on profile), Four Winds, Gunnhildr Clan",FALSE,Stephanie Southerland,Su Lin (林簌),Chiwa Saitō (斎藤千和),Ahn Young-mi (안영미),Dandelion Seed,Hurricane Seed,Damaged Mask,Stained Mask,Ominous Mask,Vayuda Turquoise Sliver,Vayuda Turquoise Fragment,Vayuda Turquoise Chunk,Vayuda Turquoise Gemstone,Damaged Mask,Stained Mask,Ominous Mask,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dvalin's Plume
Kaedehara Kazuha,5,Inazuma,Anemo,,Sword,2021-06-29,Medium Male,Acer Palmatum,29-Oct,All-Weather Beauty,"The Crux (on profile), Kaedehara Clan, Watatsumi Army (formerly)",TRUE,Mark Whitten,Banma (斑马),Nobunaga Shimazaki (島崎 信長),Kim Shin-woo (김신우),Sea Ganoderma,Marionette Core,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Vayuda Turquoise Sliver,Vayuda Turquoise Fragment,Vayuda Turquoise Chunk,Vayuda Turquoise Gemstone,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Gilded Scale
Kaeya,4,Mondstadt,Cryo,,Sword,2020-09-28,Tall Male,Pavo Ocellus,30-Nov,Fruity Skewers,"Knights of Favonius (on profile), Khaenri'ah, Alberich Clan",FALSE,Josey Montana McCoy,Ye Sun (孙晔),Kohsuke Toriumi (鳥海浩輔),Jeong Joo-won (정주원),Calla Lily,Hoarfrost Core,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Spirit Locket of Boreas
Kamisato Ayaka,5,Inazuma,Cryo,,Sword,2021-07-21,Medium Female,Grus Nivis,28-Sep,"""Snow on the Hearth""","Yashiro Commission (on profile), Kamisato Clan",TRUE,Erica Mendez,Xiao N (小N),Saori Hayami (早見沙織),Lee Yu-ri (이유리),Sakura Bloom,Perpetual Heart,Old Handguard,Kageuchi Handguard,Famed Handguard,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Old Handguard,Kageuchi Handguard,Famed Handguard,Teachings of Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Bloodjade Branch
